Set (sub-set)	# in sub-set	ERGO ID	b-number	gene name	"Gerdes et al, 2003"	PEC collection	Blattner et al.	SWISS-PROT FUNCTIONAL DESCRIPTION
B2	58	REC04721	b0995	torR	E	N	X	TorCAD operon transcriptional regulatory protein torR
B2	59	REC00961	b0998	torD	E	N	X	Chaperone protein torD
B2	60	REC04742	b1039	csgE	E	N	X	Curli production assembly/transport component csgE precursor
B2	61	REC01053	b1091	fabH	E	N	X	3-oxoacyl-[acyl-carrier-protein] synthase III (EC 2.3.1.41)
B2	62	REC04772	b1124	potC	E	N	X	Spermidine/putrescine transport system permease protein potC
B2	63	REC01151	b1189	dadA	E	N	X	D-amino acid dehydrogenase small subunit (EC 1.4.99.1)
B2	64	REC04814	b1203	ychF	E	N	X	Probable GTP-binding protein ychF
B2	65	REC01174	b1212	hemK	E	N	X	Protein methyltranferase hemK (EC 2.1.1.-)
B2	66	REC04825	b1232	purU	E	N	X	Formyltetrahydrofolate deformylase (EC 3.5.1.10)
B2	67	REC01195	b1235	hnr	E	N	X	Hnr protein
B2	68	REC01196	b1236	galU	E	N	X	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)
B2	69	REC01198	b1238	tdk	E	N	X	Thymidine kinase (EC 2.7.1.21)
B2	70	REC01205	b1245	oppC	E	N	X	Oligopeptide transport system permease protein oppC
B2	71	REC01212	b1252	tonB	E	N	X	TonB protein
B2	72	REC04836	b1254	ispZ	E	N	X	Probable intracellular septation protein
B2	73	REC01229	b1269	yciL	E	N	X	Hypothetical protein yciL
B2	74	REC04847	b1270	btuR	E	N	X	COB(I)alamin adenosyltransferase (EC 2.5.1.17)
B2	75	REC04848	b1271	yciK	E	N	X	Hypothetical oxidoreductase yciK (EC 1.-.-.-)
B2	76	REC04850	b1277	ribA	E	N	X	GTP cyclohydrolase II (EC 3.5.4.25)
B2	77	REC04869	b1326	ycjI	E	N	X	Hypothetical protein ycjI
B2	78	REC01292	b1332	ynaJ	E	N	X	Hypothetical protein ynaJ
B2	79	REC01300	b1340	ydaL	E	N	X	Hypothetical protein ydaL
B2	80	REC04889	b1356	racR	E	N	X	Rac prophage repressor
B2	81	REC01317	b1357	ydaS	E	N	X	Hypothetical protein ydaS precursor
B2	82	REC01318	b1358	ydaT	E	N	X	Hypothetical protein ydaT
B2	83	REC01319	b1359	ydaU	E	N	X	Hypothetical protein ydaU
B2	84	REC04890	b1370	insH5	E	N	X	Transposase insH for insertion sequence element IS5Y
B2	85	REC04896	b1379	hslJ	E	N	X	Heat shock protein hslJ
B2	86	REC01350	b1390	paaC	E	N	X	Phenylacetic acid degradation protein paaC
B2	87	REC04903	b1412	acpD	E	N	X	Acyl carrier protein phosphodiesterase (EC 3.1.4.14)
B2	88	REC01394	b1434	ydcN	E	N	X	Hypothetical protein ydcN
B2	89	REC04918	b1464	yddE	E	N	X	Hypothetical protein yddE
B2	90	REC01530	b1570	dicA	E	N	X	Repressor protein of division inhibition gene dicB
B2	91	REC01573	b1614	ydgA	E	N	X	Hypothetical protein ydgA
B2	92	REC01593	b1634	ydgR	E	N	X	Hypothetical transporter ydgR
B2	93	REC01610	b1651	gloA	E	N	X	Lactoylglutathione lyase (EC 4.4.1.5)
B2	94	REC01611	b1652	rnt	E	N	X	Ribonuclease T (EC 3.1.13.-)
B2	95	REC05029	b1662	ribE	E	N	X	Riboflavin synthase alpha chain (EC 2.5.1.9)
B2	96	REC05071	b1736	celC	E	N	X	"PTS system, cellobiose-specific IIA component (EC 2.7.1.69)"
B2	97	REC05087	b1765	ydjA	E	N	X	Protein ydjA
B2	98	REC01736	b1779	gapA	E	N	X	Glyceraldehyde 3-phosphate dehydrogenase A (EC 1.2.1.12)
B2	99	REC05147	b1874	cutC	E	N	X	Copper homeostasis protein cutC
B2	100	REC01896	b1942	fliJ	E	N	X	Flagellar fliJ protein
B2	101	REC01898	b1944	fliL	E	N	X	Flagellar fliL protein
B2	102	REC01900	b1946	fliN	E	N	X	Flagellar motor switch protein fliN
B2	103	REC05256	b2061	wzb	E	N	X	Low molecular weight protein-tyrosine-phosphatase wzb (EC 3.1.3.48)
B2	104	REC05282	b2105	yohL	E	N	X	Hypothetical protein yohL
B2	105	REC05285	b2110	yehC	E	N	X	Hypothetical fimbrial chaperone yehC precursor
B2	106	REC05286	b2111	yehD	E	N	X	Hypothetical protein yehD precursor
B2	107	REC05309	b2153	folE	E	N	X	GTP cyclohydrolase I (EC 3.5.4.16)
B2	108	REC02181	b2232	ubiG	E	N	X	3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64)
B2	109	REC05368	b2260	menE	E	N	X	O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)
B2	110	REC02245	b2296	ackA	E	N	X	Acetate kinase (EC 2.7.2.1)
B2	111	REC02412	b2472	dapE	E	N	X	Succinyl-diaminopimelate desuccinylase (EC 3.5.1.18)
B2	112	REC05503	b2478	dapA	E	N	X	Dihydrodipicolinate synthase (EC 4.2.1.52)
B2	113	REC05526	b2526	hscA	E	N	X	Chaperone protein hscA
B2	114	REC02473	b2533	suhB	E	N	X	Inositol-1-monophosphatase (EC 3.1.3.25)
B2	115	REC02479	b2539	hcaF	E	N	X	3-phenylpropionate dioxygenase beta subunit (EC 1.14.1.-)
B2	116	REC02480	b2540	hcaC	E	N	X	3-phenylpropionate dioxygenase ferredoxin subunit
B2	117	REC05550	b2564	pdxJ	E	N	X	Pyridoxal phosphate biosynthetic protein pdxJ
B2	118	REC02525	b2585	pssA	E	N	X	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)
B2	119	REC05572	b2608	rimM	E	N	X	16S rRNA processing protein rimM
B2	120	REC02742	b2811	ygdK	E	N	X	Hypothetical protein ygdK
B2	121	REC02864	b2942	metK	E	N	X	S-adenosylmethionine synthetase (EC 2.5.1.6)
B2	122	REC05803	b3033	yqiB	E	N	X	Hypothetical protein yqiB
B2	123	REC02979	b3056	cca	E	N	X	tRNA nucleotidyltransferase (EC 2.7.7.25)
B2	124	REC05832	b3112	tdcG	E	N	X	L-serine dehydratase tdcG (EC 4.2.1.13)
B2	125	REC05857	b3168	infB	E	N	X	Translation initiation factor IF-2
B2	126	REC03109	b3187	ispB	E	N	X	Octaprenyl-diphosphate synthase (EC 2.5.1.-)
B2	127	REC05906	b3250	mreC	E	N	X	Rod shape-determining protein mreC
B2	128	REC05907	b3251	mreB	E	N	X	Rod shape-determining protein mreB
B2	129	REC03186	b3261	fis	E	N	X	DNA-binding protein fis
B2	130	REC03206	b3288	fmt	E	N	X	Methionyl-tRNA formyltransferase (EC 2.1.2.9)
B2	131	REC03209	b3291	mscL	E	N	X	Large-conductance mechanosensitive channel
B2	132	REC05953	b3339	tufA	E	N	X	Elongation factor Tu
B2	133	REC05962	b3349	slyD	E	N	X	FKBP-type peptidyl-prolyl cis-trans isomerase slyD (EC 5.2.1.8)
B2	134	REC05985	b3390	aroK	E	N	X	Shikimate kinase I (EC 2.7.1.71)
B2	135	REC06010	b3433	asd	E	N	X	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
B2	136	REC06029	b3461	rpoH	E	N	X	RNA polymerase sigma-32 factor
B2	137	REC03425	b3506	slp	E	N	X	Outer membrane protein slp precursor
B2	138	REC06099	b3609	secB	E	N	X	Protein-export protein secB
B2	139	REC03541	b3621	rfaC	E	N	X	Lipopolysaccharide heptosyltransferase-1 (EC 2.-.-.-)
B2	140	REC06161	b3719	yieL	E	N	X	Hypothetical protein yieL
B2	141	REC06171	b3729	glmS	E	N	X	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)
B2	142	REC03703	b3793	wzyE	E	N	X	Putative ECA polymerase
B2	143	REC03715	b3809	dapF	E	N	X	Diaminopimelate epimerase (EC 5.1.1.7)
B2	144	REC03717	b3811	xerC	E	N	X	Integrase/recombinase xerC
B2	145	REC03741	b3835	ubiB	E	N	X	Probable ubiquinone biosynthesis protein ubiB
B2	146	REC03755	b3850	hemG	E	N	X	Protoporphyrinogen oxidase (EC 1.3.3.4)
B2	147	REC06258	b3935	priA	E	N	X	Primosomal protein N'
B2	148	REC03867	b3973	birA	E	N	X	BirA bifunctional protein
B2	149	REC06271	b3974	coaA	E	N	X	Pantothenate kinase (EC 2.7.1.33)
B2	150	REC03870	b3980	tufB	E	N	X	Elongation factor Tu
B2	151	REC06617	b3997	hemE	E	N	X	Uroporphyrinogen decarboxylase (EC 4.1.1.37)
B2	152	REC04054	b4171	miaA	E	N	X	tRNA delta(2)-isopentenylpyrophosphate transferase (EC 2.5.1.8)
B2	153	REC04055	b4172	hfq	E	N	X	Hfq protein
B2	154	REC04084	b4201	priB	E	N	X	Primosomal replication protein N
B2	155	REC04107	b4224	chpS	E	N	X	PemI-like protein 2
B2	156	REC06400	b4259	holC	E	N	X	"DNA polymerase III, chi subunit (EC 2.7.7.7)"
B2	157	REC06471	b4386	lplA	E	N	X	Lipoate-protein ligase A (EC 6.-.-.-)

"Set C: genes essential in Gerdes et al., 2002 and unassigned in PEC data (viable gene knockouts from UW data are shownin the sub-set C1)"								
C1	1	REC04336	b0122	yacC	E	X	N	Hypothetical protein yacC precursor
C1	2	REC00504	b0521	arcC	E	X	N	Carbamate kinase (EC 2.7.2.2)
C1	3	REC01282	b1322	ycjF	E	X	N	Hypothetical protein ycjF
C1	4	REC05026	b1654	ydhD	E	X	N	Protein ydhD
C1	5	REC05130	b1846	yebE	E	X	N	Hypothetical protein yebE
C1	6	REC05132	b1848	yebG	E	X	N	Hypothetical protein yebG
C1	7	REC05142	b1864	yebC	E	X	N	Protein yebC
C1	8	REC01883	b1929	yedE	E	X	N	Hypothetical protein yedE
C1	9	REC02869	b2947	gshB	E	X	N	Glutathione synthetase (EC 6.3.2.3)
C1	10	REC04563	b0636	ybeA	E	X	N	Hypothetical protein ybeA
C1	11	REC00813	b0846	ybjK	E	X	N	Hypothetical protein ybjK
C1	12	REC00817	b0850	ybjC	E	X	N	Hypothetical protein ybjC
C1	13	REC04667	b0865	ybjP	E	X	N	Putative lipoprotein ybjP precursor
C1	14	REC00833	b0866	ybjQ	E	X	N	Hypothetical protein ybjQ
C1	15	REC00834	b0867	ybjR	E	X	N	Probable N-acetylmuramoyl-L-alanine amidase ybjR (EC 3.5.1.28)
C1	16	REC04668	b0868	ybjS	E	X	N	Hypothetical protein ybjS
C1	17	REC04683	b0897	ycaC	E	X	N	Protein ycaC
C1	18	REC04706	b0963	mgsA	E	X	N	Methylglyoxal synthase (EC 4.2.3.3)
C1	19	REC04722	b0999	yccD	E	X	N	Hypothetical protein yccD
C1	20	REC04730	b1010	ycdK	E	X	N	Hypothetical protein ycdK
C1	21	REC04731	b1011	ycdL	E	X	N	Hypothetical isochorismatase family protein ycdL
C1	22	REC01070	b1108	ycfP	E	X	N	Hypothetical protein ycfP
C1	23	REC04775	b1128	ycfD	E	X	N	Hypothetical protein ycfD
C1	24	REC01167	b1205	ychH	E	X	N	Hypothetical protein ychH
C1	25	REC01175	b1213	ychQ	E	X	N	Hypothetical protein ychQ
C1	26	REC01398	b1438	ydcQ	E	X	N	Hypothetical protein ydcQ
C1	27	REC01401	b1441	ydcT	E	X	N	Hypothetical ABC transporter ATP-binding protein ydcT
C1	28	REC01402	b1442	ydcU	E	X	N	Hypothetical ABC transporter permease protein ydcU
C1	29	REC01403	b1443	ydcV	E	X	N	Hypothetical ABC transporter permease protein ydcV
C1	30	REC01412	b1452	yncE	E	X	N	Hypothetical protein yncE precursor
C1	31	REC01423	b1463	nhoA	E	X	N	N-hydroxyarylamine O-acetyltransferase (EC 2.3.1.118)
C1	32	REC04966	b1523	yneG	E	X	N	Hypothetical protein yneG
C1	33	REC04985	b1556	essQ	E	X	N	Lysis protein S homolog from lambdoid prophage Qin
C1	34	REC01525	b1565	ydfV	E	X	N	Hypothetical protein ydfV
C1	35	REC04998	b1582	ynfA	E	X	N	Hypothetical protein ynfA
C1	36	REC01545	b1586	ynfD	E	X	N	Hypothetical protein ynfD precursor
C1	37	REC01548	b1589	ynfG	E	X	N	Probable anaerobic dimethyl sulfoxide reductase chain ynfG
C1	38	REC05025	b1648	ydhL	E	X	N	Hypothetical protein ydhL precursor
C1	39	REC05033	b1671	ydhX	E	X	N	Putative ferredoxin-like protein ydhX
C1	40	REC05044	b1684	sufA	E	X	N	SufA protein
C1	41	REC05046	b1686	ydiI	E	X	N	Hypothetical protein ydiI
C1	42	REC01652	b1695	ydiO	E	X	N	Hypothetical protein ydiO
C1	43	REC01655	b1698	ydiR	E	X	N	Putative electron transfer flavoprotein subunit ydiR
C1	44	REC01657	b1700	ydiT	E	X	N	Ferredoxin-like protein ydiT
C1	45	REC05064	b1722	ydiY	E	X	N	Hypothetical protein ydiY precursor
C1	46	REC01698	b1741	ydjQ	E	X	N	Hypothetical protein ydjQ
C1	47	REC05075	b1742	ydjR	E	X	N	Hypothetical protein ydjR
C1	48	REC05078	b1745	astB	E	X	N	Succinylarginine dihydrolase (EC 3.-.-.-)
C1	49	REC05080	b1747	astA	E	X	N	Arginine N-succinyltransferase (EC 2.3.1.109)
C1	50	REC01713	b1756	ynjD	E	X	N	Hypothetical ABC transporter ATP-binding protein ynjD
C1	51	REC05264	b2073	yegL	E	X	N	Hypothetical protein yegL
C1	52	REC05455	b2387	ypdH	E	X	N	Putative PTS system IIB component ypdH (EC 2.7.1.69)
C1	53	REC05479	b2439	eutL	E	X	N	Ethanolamine utilization protein eutL
C1	54	REC05653	b2780	pyrG	E	X	N	CTP synthase (EC 6.3.4.2)
C1	55	REC05718	b2900	yqfB	E	X	N	Hypothetical protein yqfB
C1	56	REC05725	b2909	ygfB	E	X	N	Hypothetical protein ygfB
C1	57	REC05784	b3002	yqhA	E	X	N	Hypothetical protein yqhA
C1	58	REC03057	b3133	agaV	E	X	N	"PTS system, N-acetylgalactosamine-specific IIB component 2 (EC 2.7.1.69)"
C1	59	REC05958	b3344	yheM	E	X	N	Hypothetical protein yheM
C1	60	REC06278	b3995	rsd	E	X	N	Regulator of sigma D
C1	61	REC04041	b4155	poxA	E	X	N	Putative lysyl-tRNA synthetase (EC 6.1.1.6)
C1	62	REC04146	b4262	yjgQ	E	X	N	Hypothetical protein yjgQ
C1	63	REC06427	b4302	sgcA	E	X	N	"Putative phosphotransferase enzyme II, A component sgcA (EC 2.7.1.69)"

C2	1	REC05214	b2009	gyrI	E	X	X	DNA gyrase inhibitory protein
C2	2	REC05888	b3226	yhcK	E	X	X	Hypothetical transcriptional regulator yhcK
C2	3	REC03603	b3684	yidP	E	X	X	Hypothetical transcriptional regulator yidP
C2	4	REC06564	b0021	insB1	E	X	X	Insertion element IS1 1/5/6 protein insB
C2	5	REC06565	b0022		E	X	X	Insertion element IS1 1/2/3/5/6 protein insA
C2	6	REC04307	b0054	imp	E	X	X	Organic solvent tolerance protein precursor
C2	7	REC00082	b0082	mraW	E	X	X	S-adenosyl-methyltransferase mraW (EC 2.1.1.-)
C2	8	REC00097	b0097	secM	E	X	X	Secretion monitor precursor
C2	9	REC04326	b0103	coaE	E	X	X	Dephospho-CoA kinase (EC 2.7.1.24)
C2	10	REC04338	b0126	yadF	E	X	X	Protein yadF
C2	11	REC00170	b0170	tsf	E	X	X	Elongation factor Ts
C2	12	REC00177	b0177	yaeT	E	X	X	Unknown protein from 2D-page spots M62/M63/O3/O9/T35 precursor
C2	13	REC00204	b0210	yafE	E	X	X	Hypothetical protein yafE
C2	14	REC04386	b0245	ykfI	E	X	X	Hypothetical protein ykfI
C2	15	REC06629	b0298	insE1	E	X	X	Transposase insE for insertion sequence IS3A/B/C/D/E/fA/fB
C2	16	REC04440	b0357	yaiN	E	X	X	Hypothetical protein yaiN
C2	17	REC04445	b0364	yaiS	E	X	X	Hypothetical protein yaiS
C2	18	REC04451	b0379	yaiY	E	X	X	Hypothetical protein yaiY
C2	19	REC00401	b0417	thiL	E	X	X	Thiamine-monophosphate kinase (EC 2.7.4.16)
C2	20	REC00426	b0442	ybaV	E	X	X	Hypothetical protein ybaV precursor
C2	21	REC00439	b0456	ybaA	E	X	X	Hypothetical protein ybaA
C2	22	REC00451	b0468	ybaN	E	X	X	Hypothetical protein ybaN
C2	23	REC04492	b0482	ybaP	E	X	X	Hypothetical protein ybaP
C2	24	REC00466	b0483	ybaQ	E	X	X	Hypothetical protein ybaQ
C2	25	REC00481	b0498	ybbC	E	X	X	Hypothetical protein ybbC precursor
C2	26	REC00503	b0520	ylbF	E	X	X	Hypothetical protein ylbF
C2	27	REC04507	b0524	lpxH	E	X	X	"UDP-2,3-diacylglucosamine hydrolase (EC 3.6.1.-)"
C2	28	REC00282	b0540	insE3	E	X	X	Transposase insE for insertion sequence IS3A/B/C/D/E/fA/fB
C2	29	REC00529	b0547	ybcN	E	X	X	Hypothetical protein ybcN in lambdoid DLP12 prophage region
C2	30	REC00531	b0549	ybcO	E	X	X	Hypothetical protein ybcO in lambdoid DLP12 prophage region
C2	31	REC04518	b0558	ybcV	E	X	X	Hypothetical protein ybcV
C2	32	REC04554	b0624	crcB	E	X	X	Protein crcB
C2	33	REC04581	b0659	ybeY	E	X	X	Hypothetical protein ybeY
C2	34	REC00656	b0682	ybfN	E	X	X	Hypothetical lipoprotein ybfN precursor
C2	35	REC00784	b0817	mntR	E	X	X	Transcriptional regulator mntR
C2	36	REC00848	b0881	yljA	E	X	X	Protein yljA
C2	37	REC00876	b0910	cmk	E	X	X	Cytidylate kinase (EC 2.7.4.14)
C2	38	REC00881	b0915	lpxK	E	X	X	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)
C2	39	REC00892	b0926	ycbK	E	X	X	Hypothetical protein ycbK
C2	40	REC00931	b0965	yccU	E	X	X	Protein yccU
C2	41	REC04718	b0987	ymcD	E	X	X	Hypothetical protein ymcD
C2	42	REC06640	b1027	insE4	E	X	X	Transposase insE for insertion sequence IS3A/B/C/D/E/fA/fB
C2	43	REC00995	b1033	ycdW	E	X	X	Putative 2-hydroxyacid dehydrogenase ycdW
C2	44	REC00996	b1034	ycdX	E	X	X	Hypothetical protein ycdX precursor
C2	45	REC00998	b1036	ycdZ	E	X	X	Hypothetical protein ycdZ
C2	46	REC01031	b1069	mviN	E	X	X	Virulence factor mviN homolog
C2	47	REC01047	b1085		E	X	X	FROM BASES 1137539 TO 1147976 (SECTION 99 OF 400) OF THE COMPLETE GENOME
C2	48	REC01105	b1143	ymfI	E	X	X	Hypothetical protein ymfI
C2	49	REC04788	b1144	ymfJ	E	X	X	Hypothetical protein ymfF
C2	50	REC04789	b1145	ymfK	E	X	X	Putative lambdoid prophage e14 repressor protein C2
C2	51	REC01108	b1146		E	X	X	FROM BASES 1195814 TO 1209543 (SECTION 104 OF 400) OF THE COMPLETE GENOME
C2	52	REC04792	b1160	elbA	E	X	X	Enhancing lycopene biosynthesis protein 1
C2	53	REC04793	b1161	ycgX	E	X	X	Hypothetical protein ycgX
C2	54	REC01142	b1180	ycgM	E	X	X	Protein ycgM
C2	55	REC04811	b1199	ycgS	E	X	X	Protein ycgS
C2	56	REC04818	b1208	ispE	E	X	X	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)
C2	57	REC01190	b1228		E	X	X	FROM BASES 1278800 TO 1289447 (SECTION 111 OF 400) OF THE COMPLETE GENOME
C2	58	REC01239	b1279	yciS	E	X	X	Hypothetical protein yciS
C2	59	REC01359	b1399	paaX	E	X	X	Phenylacetic acid degradation operon negative regulatory protein paaX
C2	60	REC01360	b1400	paaY	E	X	X	Phenylacetic acid degradation protein paaY
C2	61	REC04913	b1447	ydcZ	E	X	X	Hypothetical protein ydcZ
C2	62	REC04914	b1448	yncA	E	X	X	Hypothetical acetyltransferase yncA (EC 2.3.1.-)
C2	63	REC04925	b1471	yddK	E	X	X	Hypothetical protein yddK
C2	64	REC04926	b1472		E	X	X	FROM BASES 1540626 TO 1550846 (SECTION 134 OF 400) OF THE COMPLETE GENOME
C2	65	REC04935	b1485	yddQ	E	X	X	Hypothetical ABC transporter permease protein yddQ
C2	66	REC04984	b1555	ydfR	E	X	X	Hypothetical protein ydfR
C2	67	REC06568	b1578		E	X	X	Transposase insD for insertion element IS2A/D/F/H/I/K
C2	68	REC05003	b1599	ydgE	E	X	X	Hypothetical protein ydgE
C2	69	REC01624	b1667	ydhR	E	X	X	Protein ydhR precursor
C2	70	REC01681	b1724	ydiZ	E	X	X	Hypothetical protein ydiZ
C2	71	REC01748	b1791	yeaN	E	X	X	Hypothetical transport protein yeaN
C2	72	REC01749	b1792	yeaO	E	X	X	Hypothetical protein yeaO
C2	73	REC05111	b1807	yeaZ	E	X	X	Hypothetical protease yeaZ (EC 3.4.-.-)
C2	74	REC01766	b1809	yoaB	E	X	X	Hypothetical protein yoaB
C2	75	REC05126	b1839	yebY	E	X	X	Hypothetical protein yebY precursor
C2	76	REC01828	b1871	yecP	E	X	X	Hypothetical protein yecP
C2	77	REC01852	b1895	yecG	E	X	X	Hypothetical protein yecG
C2	78	REC01928	b1976	yeeI	E	X	X	Hypothetical protein yeeI
C2	79	REC01953	b2005	yeeV	E	X	X	Hypothetical protein yeeV
C2	80	REC02028	b2080	yegP	E	X	X	Hypothetical protein yegP
C2	81	REC06644	b2088	insE5	E	X	X	Transposase insE for insertion sequence IS3A/B/C/D/E/fA/fB
C2	82	REC05313	b2161	yeiJ	E	X	X	Hypothetical transport protein yeiJ
C2	83	REC02112	b2163	yeiL	E	X	X	Hypothetical protein yeiL
C2	84	REC05315	b2164	yeiM	E	X	X	Hypothetical transport protein yeiM
C2	85	REC02193	b2244	yfaD	E	X	X	Hypothetical protein yfaD
C2	86	REC05361	b2246	yfaV	E	X	X	Hypothetical transport protein yfaV
C2	87	REC05375	b2267	elaA	E	X	X	Protein elaA
C2	88	REC02253	b2304	yfcH	E	X	X	Hypothetical protein yfcH
C2	89	REC05448	b2375	yfdX	E	X	X	YfdX protein precursor
C2	90	REC02384	b2444	yffM	E	X	X	Hypothetical protein yffM
C2	91	REC02386	b2446	yffO	E	X	X	Hypothetical protein yffO
C2	92	REC02390	b2450	yffS	E	X	X	Hypothetical protein yffS
C2	93	REC05487	b2456	eutN	E	X	X	Ethanolamine utilization protein eutN
C2	94	REC02411	b2471	yffB	E	X	X	Protein yffB
C2	95	REC05512	b2511	engA	E	X	X	Probable GTP-binding protein engA
C2	96	REC05525	b2525	fdx	E	X	X	"Ferredoxin, 2Fe-2S"
C2	97	REC05527	b2527	hscB	E	X	X	Chaperone protein hscB
C2	98	REC05529	b2529	nifU	E	X	X	NifU-like protein
C2	99	REC05530	b2530	iscS	E	X	X	Cysteine desulfurase (EC 4.4.1.-)
C2	100	REC05547	b2559	yfhC	E	X	X	Hypothetical protein yfhC
C2	101	REC05562	b2579	yfiD	E	X	X	Protein yfiD
C2	102	REC02522	b2582	trxC	E	X	X	Thioredoxin 2
C2	103	REC02548	b2612		E	X	X	Hypothetical protein yfjD
C2	104	REC02551	b2615	ppnK	E	X	X	Probable inorganic polyphosphate/ATP-NAD kinase (EC 2.7.1.23)
C2	105	REC05576	b2618	yfjF	E	X	X	Protein yfjF
C2	106	REC05577	b2619	yfjG	E	X	X	Hypothetical protein yfjG
C2	107	REC02580	b2646	ypjF	E	X	X	Hypothetical protein ypjF
C2	108	REC05589	b2650	ypjC	E	X	X	Hypothetical protein ypjC
C2	109	REC05591	b2665	ygaU	E	X	X	Unknown protein from 2D-page
C2	110	REC02601	b2668	ygaP	E	X	X	Hypothetical protein ygaP
C2	111	REC02606	b2673	nrdH	E	X	X	Glutaredoxin-like protein nrdH
C2	112	REC02607	b2674	nrdI	E	X	X	NrdI protein
C2	113	REC05619	b2732	ygbA	E	X	X	Hypothetical protein ygbA
C2	114	REC02666	b2737	ygbK	E	X	X	Hypothetical protein ygbK
C2	115	REC05626	b2746	ispF	E	X	X	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)"
C2	116	REC05627	b2747	ispD	E	X	X	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)
C2	117	REC05628	b2748	ygbQ	E	X	X	Hypothetical protein ygbQ
C2	118	REC02779	b2854		E	X	X	ORF_O138
C2	119	REC02804	b2880	ygfM	E	X	X	Hypothetical protein ygfM
C2	120	REC05716	b2897	ygfY	E	X	X	Hypothetical protein ygfY
C2	121	REC05731	b2923	yggA	E	X	X	Hypothetical protein yggA
C2	122	REC02870	b2948	yqgE	E	X	X	Protein yqgE
C2	123	REC02871	b2949	yqgF	E	X	X	Hypothetical protein yqgF
C2	124	REC05752	b2959	yggL	E	X	X	Hypothetical protein yggL
C2	125	REC05795	b3021	ygiT	E	X	X	Hypothetical protein ygiT
C2	126	REC05799	b3027	ygiZ	E	X	X	Hypothetical protein ygiZ
C2	127	REC03008	b3086	ygjQ	E	X	X	Hypothetical protein ygjQ
C2	128	REC03020	b3095	yqjA	E	X	X	Hypothetical protein yqjA
C2	129	REC03021	b3096	yqjB	E	X	X	Hypothetical protein yqjB
C2	130	REC03025	b3100	yqjK	E	X	X	Hypothetical protein yqjK
C2	131	REC03058	b3134	agaW	E	X	X	"PTS system, N-acetylgalactosamine-specific IIC component 2"
C2	132	REC05846	b3152	yraR	E	X	X	Hypothetical protein yraR
C2	133	REC05847	b3154	yhbP	E	X	X	Hypothetical protein yhbP
C2	134	REC03079	b3155	yhbQ	E	X	X	Hypothetical protein yhbQ
C2	135	REC05848	b3156	yhbS	E	X	X	Hypothetical acetyltransferase yhbS (EC 2.3.1.-)
C2	136	REC05859	b3170	yhbC	E	X	X	Hypothetical protein yhbC
C2	137	REC03124	b3201	yhbG	E	X	X	Probable ABC transporter ATP-binding protein yhbG
C2	138	REC03142	b3219	yhcF	E	X	X	Hypothetical protein yhcF precursor
C2	139	REC05895	b3239	yhcO	E	X	X	Hypothetical protein yhcO
C2	140	REC05957	b3343	yheL	E	X	X	Hypothetical protein yheL
C2	141	REC05959	b3345	yheN	E	X	X	Hypothetical protein yheN
C2	142	REC03292	b3374	yhfQ	E	X	X	Hypothetical sugar kinase yhfQ
C2	143	REC04294	b3444		E	X	X	Insertion element IS1 1/2/3/5/6 protein insA
C2	144	REC03383	b3465	yhhF	E	X	X	Putative methylase yhhF (EC 2.1.1.-)
C2	145	REC03384	b3466	yhhL	E	X	X	Hypothetical protein yhhL
C2	146	REC06033	b3467	yhhM	E	X	X	Hypothetical protein yhhM
C2	147	REC03514	b3594	yibA	E	X	X	Hypothetical protein yibA
C2	148	REC03516	b3596	yibG	E	X	X	Hypothetical protein yibG precursor
C2	149	REC06202	b3804	hemD	E	X	X	Uroporphyrinogen-III synthase (EC 4.2.1.75)
C2	150	REC06578	b3805	hemC	E	X	X	Porphobilinogen deaminase (EC 4.3.1.8)
C2	151	REC06589	b3833	ubiE	E	X	X	Ubiquinone/menaquinone biosynthesis methyltransferase ubiE (EC 2.1.1.-)
C2	152	REC03826	b3928	yiiU	E	X	X	Hypothetical protein yiiU
C2	153	REC06279	b4002	zraP	E	X	X	Zinc resistance-associated protein precursor
C2	154	REC03933	b4047	yjbL	E	X	X	Hypothetical protein yjbL
C2	155	REC03934	b4048	yjbM	E	X	X	Hypothetical protein yjbM
C2	156	REC03936	b4050	yjbO	E	X	X	Hypothetical protein yjbO
C2	157	REC04044	b4158	yjeO	E	X	X	Hypothetical protein yjeO
C2	158	REC04051	b4168	yjeE	E	X	X	Hypothetical protein yjeE
C2	159	REC06764	b4215	ytfI	E	X	X	Hypothetical protein ytfI
C2	160	REC04098	b4215	ytfI	E	X	X	Hypothetical protein ytfI
C2	161	REC04112	b4229	ytfS	E	X	X	Hypothetical ABC transporter ATP-binding protein ytfR
C2	162	REC06391	b4243	yjgF	E	X	X	Protein yjgF
